x,y_aim,y_prd,diff
7.625,58.140625,85.54640729,27.40578229
7.6875,59.09765625,88.06690333,28.96924708
7.75,60.0625,90.661662,30.599162
7.8125,61.03515625,93.33287132,32.29771507
7.875,62.015625,96.0827838,34.0671588
7.9375,63.00390625,98.9137183,35.90981205
8,64,101.828062,37.82806203
8.0625,65.00390625,104.8282725,39.82436626
8.125,66.015625,107.9168797,41.90125467
8.1875,67.03515625,111.096488,44.06133174
8.25,68.0625,114.3697787,46.30727868
8.3125,69.09765625,117.739512,48.6418557
8.375,70.140625,121.2085293,51.06790434
8.4375,71.19140625,124.7797561,53.58834985
8.5,72.25,128.4562037,56.20620367
8.5625,73.31640625,132.2409722,58.92456599
8.625,74.390625,136.1372533,61.74662831
8.6875,75.47265625,140.1483324,64.67567618
8.75,76.5625,144.277592,67.71509196
8.8125,77.66015625,148.5285139,70.86835765
8.875,78.765625,152.9046829,74.13905786
8.9375,79.87890625,157.409789,77.53088279
9,81,162.0476314,81.04763139
9.0625,82.12890625,166.8221208,84.69321453
9.125,83.265625,171.7372833,88.47165831
9.1875,84.41015625,176.7972637,92.38710745
9.25,85.5625,182.0063288,96.44382879
9.3125,86.72265625,187.3688711,100.6462149
9.375,87.890625,192.8894127,104.9987877
9.4375,89.06640625,198.5726087,109.5062025
9.5,90.25,204.4232516,114.1732516
9.5625,91.44140625,210.4462748,119.0048685
9.625,92.640625,216.6467573,124.0061323
9.6875,93.84765625,223.0299277,129.1822715
9.75,95.0625,229.6011686,134.5386686
9.8125,96.28515625,236.3660212,140.080865
9.875,97.515625,243.33019,145.814565
9.9375,98.75390625,250.4995476,151.7456413
10,100,257.8801395,157.8801395
